The bad promoter intervals were originally defined on the HG18 reference and
then transferred to the HG19 reference using the UCSC liftOver program
(http://genome.ucsc.edu/cgi-bin/hgLiftOver). They have been annotated with the
names of the genes whose transcription start sites (TSS) they overlap. If
multiple TSS assignments are possible, both are listed.

1:10270664-10270864 #KIF1B
17:74261348-74261548 #FAM100B
17:74582045-74582245 #ST6GALNAC2
17:74864698-74864898 #MGAT5B
17:76778276-76778476 #CYTH1
17:77070919-77071119 #ENGASE
17:77751893-77752093 #CBX2
17:78009547-78009747 #TBC1D16
17:78194099-78194299 #SLC26A11 SGSH
17:78194137-78194337 #SLC26A11 SGSH
17:78234567-78234767 #RNF213
17:79679271-79679471 #SLC25A10
17:80376362-80376562 #HEXDC C17orf101
17:80606311-80606511 #WDR45L
17:8066193-8066393 #VAMP2
17:9548850-9549050 #USP43
18:10454525-10454725 #APCDD1
18:11981355-11981555 #IMPA2
18:12308157-12308357 #TUBB6
18:12657812-12658012 #SPIRE1
18:12947883-12948083 #SEH1L
18:19321445-19321645 #MIB1
18:20715627-20715827 #CABLES1
18:21269462-21269662 #LAMA3
18:43914087-43914287 #RNF165
18:44497366-44497566 #PIAS2
18:44550198-44550398 #TCEB3C LOC100506888 KATNAL2 TCEB3CL
18:44550434-44550634 #TCEB3C LOC100506888 KATNAL2
18:44556113-44556313 #TCEB3C KATNAL2 TCEB3CL
18:44556349-44556549 #TCEB3C KATNAL2
18:45456826-45457026 #SMAD2
18:47721284-47721484 #MYO5B
18:500585-500785 #COLEC12
18:59992448-59992648 #TNFRSF11A
18:61034406-61034606 #KDSR
18:65183867-65184067 #DSEL LOC643542
18:72921017-72921217 #ZADH2
18:7567214-7567414 #PTPRM
18:78005297-78005497 #PARD6G
18:8609343-8609543 #RAB12
18:9614500-9614700 #PPP4R1
19:10046970-10047170 #OLFM2
19:10531233-10531433 #PDE4A
19:10541421-10541621 #PDE4A
19:10613381-10613581 #KEAP1
19:11071498-11071698 #SMARCA4
19:11071708-11071908 #SMARCA4
19:1205698-1205898 #STK11
19:13106484-13106684 #NFIX
19:1354910-1355110 #MUM1
19:1401452-1401652 #GAMT
19:1450048-1450248 #APC2
19:16738915-16739115 #MED26
19:17137525-17137725 #CPAMD8
19:1812170-1812370 #ATP8B3
19:18654283-18654483 #FKBP8
19:19051883-19052083 #HOMER3
19:19144208-19144408 #ARMC6 SUGP2
19:19144268-19144468 #ARMC6 SUGP2
19:19144371-19144571 #ARMC6 SUGP2
19:30156227-30156427 #PLEKHF1
19:30205863-30206063 #C19orf12
19:30302801-30303001 #CCNE1
19:30433325-30433525 #URI1
19:3094308-3094508 #GNA11
19:3224601-3224801 #CELF5
19:33555694-33555894 #RHPN2
19:33685499-33685699 #LRP3
19:33864509-33864709 #CEBPG
19:34112761-34112961 #CHST8
19:34112773-34112973 #CHST8
19:344691-344891 #MIER2
19:3557471-3557671 #MFSD12
19:3585469-3585669 #GIPC3
19:3786315-3786515 #MATK
19:38755102-38755302 #SPINT2
19:4007649-4007849 #PIAS4
19:40697551-40697751 #MAP3K10
19:42387167-42387367 #ARHGEF1
19:42498282-42498482 #ATP1A3
19:4400371-4400571 #SH3GL1
19:44143891-44144091 #CADM4
19:45147126-45147326 #PVR
19:45251878-45252078 #BCL3
19:47249620-47249820 #STRN4 FKRP
19:47734351-47734551 #BBC3
19:55795434-55795634 #BRSK1
19:56988643-56988843 #ZNF667
19:59055736-59055936 #TRIM28
19:6279859-6280059 #MLLT1
19:663127-663327 #RNF126
19:7459899-7460099 #ARHGEF18
19:7580904-7581104 #ZNF358
19:7660688-7660888 #CAMSAP3
19:8070429-8070629 #ELAVL1
19:8478087-8478287 #MARCH2
19:9945899-9946099 #PIN1
20:13202318-13202518 #ISM1
20:19193190-19193390 #SLC24A3
20:23015957-23016157 #SSTR4
20:25371377-25371577 #ABHD12
20:30795446-30795646 #PLAGL2
20:31350091-31350291 #DNMT3B
20:32077828-32078028 #CBFA2T2
20:33292048-33292248 #TP53INP2
20:3388155-3388355 #C20orf194
20:34894203-34894403 #DLGAP4
20:388609-388809 #RBCK1
20:39766061-39766261 #PLCG1
20:41818457-41818657 #PTPRT
20:42543392-42543592 #TOX2
20:43280276-43280476 #ADA
20:47444320-47444520 #PREX1
20:47804804-47805004 #STAU1
20:48099081-48099281 #KCNB1
20:48184607-48184807 #PTGIS
20:48770160-48770360 #TMEM189 TMEM189-UBE2V1
20:49547427-49547627 #ADNP
20:50384808-50385008 #ATP9A
20:56284931-56285131 #PMEPA1
20:57267762-57267962 #NPEPL1 STX16-NPEPL1
20:57582185-57582385 #CTSZ
20:590810-591010 #TCF15
20:60877927-60878127 #ADRM1
20:60982239-60982439 #CABLES2
20:62205492-62205692 #PRIC285
20:62339265-62339465 #ZGPAT ARFRP1
20:62339291-62339491 #ZGPAT ARFRP1
20:62601118-62601318 #ZNF512B
20:62886948-62887148 #PCMTD2
20:633790-633990 #SRXN1
20:982804-983004 #RSPO4
21:17102396-17102596 #USP25
21:18985168-18985368 #BTG3
21:22370533-22370733 #NCAM2
21:27543032-27543232 #APP
21:33784652-33784852 #C21orf63
21:35445723-35445923 #MRPS6 SLC5A3
21:35445770-35445970 #MRPS6 SLC5A3
21:35987282-35987482 #RCAN1
21:38362403-38362603 #HLCS
21:38445471-38445671 #TTC3
21:42879978-42880178 #TMPRSS2
21:43373899-43374099 #C2CD2
21:43639167-43639367 #ABCG1
21:44394543-44394743 #PKNOX1
21:45527108-45527308 #PWP2
21:46494415-46494615 #ADARB1
21:46962251-46962451 #SLC19A1
21:47878790-47878990 #DIP2A
22:20004209-20004409 #ARVCF
22:20067734-20067934 #DGCR8
22:20104924-20105124 #RANBP1
22:20850022-20850222 #KLHL22
22:21319334-21319534 #AIFM3
22:21319351-21319551 #AIFM3
22:25960761-25960961 #ADRBK2
22:26825180-26825380 #ASPHD2
22:29279790-29279990 #ZNRF3
22:29469006-29469206 #KREMEN1
22:29601853-29602053 #EMID1
22:30783202-30783402 #RNF215
22:31090693-31090893 #OSBP2
22:32340379-32340579 #YWHAH C22orf24
22:36424485-36424685 #RBFOX2
22:36902990-36903190 #FOXRED2
22:38302246-38302446 #MICALL1
22:38713313-38713513 #CSNK1E
22:39548438-39548638 #CBX7
22:39745854-39746054 #SYNGR1
22:40390853-40391053 #FAM83F
22:42372831-42373031 #SEPT3
22:43116776-43116976 #A4GALT
22:43253200-43253400 #ARFGAP3
22:44258278-44258478 #SULT4A1
22:44319519-44319719 #PNPLA3
22:44420068-44420268 #PARVB
22:44893905-44894105 #LDOC1L
22:45064493-45064693 #PRR5
22:45148338-45148538 #PRR5-ARHGAP8 ARHGAP8
22:45705685-45705885 #FAM118A
22:46646093-46646293 #C22orf40
22:50312244-50312444 #CRELD2
22:50528394-50528594 #MOV10L1
X:11776178-11776378 #MSL3
X:117861459-117861659 #IL13RA1
X:128977368-128977568 #ZDHHC9
X:135229580-135229780 #FHL1
X:146993409-146993609 #FMR1 FMR1-AS1
X:151143051-151143251 #GABRE
X:152224666-152224866 #PNMA3
X:153979248-153979448 #GAB3
X:16964714-16964914 #REPS2
X:19140577-19140777 #GPR64
X:34675305-34675505 #TMEM47
X:40506677-40506877 #CXorf38
X:46618372-46618572 #SLC9A7
X:48693860-48694060 #PCSK1N
X:48814793-48814993 #OTUD5
X:7066089-7066289 #HDHD1
X:9754396-9754596 #SHROOM2
